Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2081 0.012173543004735166 -5.503273173251898 0.0 0.0 0.0 0.0 0.0764828767664769 0.050243561616761544 0 0.026239315149715357 1.04957261 0. 2.26096027 2.05444384 5.36497672 
2082 0.028973822974535324 -5.474299350277363 0.0 0.0 0.0 0.0 0.08079054285035824 0.04982472857482088 0 0.030965814275537358 1.23863257 2.22044605e-16 2.24211279 2.23512714 5.7158725 
2083 0.0021984011906397427 -5.472100949086723 0.0 0.0 0.0 0.0 0.08381078337350166 0.050049608313249165 0 0.033761175060252495 1.350447 0. 2.25223237 2.35143917 5.95411855 
2084 -0.06096353017130696 -5.53306447925803 0.0 0.0 0.0 0.0 0.08500928742744313 0.05118535628627843 0 0.03382393114116469 1.35295725 0. 2.30334103 2.37666437 6.03296265 
2085 -0.14357540020063198 -5.676639879458662 0.0 0.0 0.0 0.0 0.0843400603822349 0.053254969808882544 0 0.03108509057335236 1.24340362 1.11022302e-16 2.39647364 2.30850302 5.94838028 
2086 -0.22349102280315947 -5.900130902261822 0.0 0.0 0.0 0.0 0.08225771877131084 0.056031140614344575 0 0.026226578156966267 1.04906313 0. 2.52140133 2.16968594 5.74015039 
2087 -0.2792883327133495 -6.179419234975171 0.0 0.0 0.0 0.0 0.07959565151130006 0.059097174244349966 0 0.020498477266950095 0.81993909 0. 2.65937284 2.00188258 5.48119451 
2088 -0.2960091445578996 -6.475428379533071 0.0 0.0 0.0 0.0 0.07734269330913524 0.06195865334543238 0 0.015384039963702856 0.6153616 0. 2.7881394 1.85453467 5.25803566 
2089 -0.26916696306244603 -6.744595342595517 0.0 0.0 0.0 0.0 0.0763781498064593 0.06417592509677035 0 0.012202224709688944 0.48808899 1.11022302e-16 2.88791663 1.77160749 5.14761311 
2090 -0.20594894809397601 -6.950544290689493 0.0 0.0 0.0 0.0 0.07723617373026254 0.06548191313486873 0 0.011754260595393806 0.47017042 1.11022302e-16 2.94668609 1.77980869 5.1966652 
2091 -0.12328996325766184 -7.073834253947155 0.0 0.0 0.0 0.0 0.07996262682515184 0.06585368658742408 0 0.014108940237727768 0.56435761 0. 2.9634159 1.88143134 5.40920485 
2092 -0.043334760371919856 -7.1171690143190744 0.0 0.0 0.0 0.0 0.08410278092315479 0.0655186095384226 0 0.018584171384732187 0.74336686 1.11022302e-16 2.94833743 2.05373905 5.74544333 
2093 0.012495800206920649 -7.104673214112154 0.0 0.0 0.0 0.0 0.08882315332553423 0.06489342333723289 0 0.02392972998830134 0.9571892 2.22044605e-16 2.92020405 2.25505767 6.13245092 
2094 0.029244545326889693 -7.075428668785264 0.0 0.0 0.0 0.0 0.09313483054071175 0.06447258472964412 0 0.028662245811067633 1.14648983 0. 2.90126631 2.43594153 6.48369767 
2095 0.0024258300628048346 -7.073002838722459 0.0 0.0 0.0 0.0 0.09615844074152832 0.06469577962923584 0 0.031462661112292484 1.25850644 0. 2.91131008 2.55242204 6.72223856 
2096 -0.06077247135607422 -7.1337753100785335 0.0 0.0 0.0 0.0 0.09735977559974668 0.06583011220012666 0 0.03152966339962002 1.26118654 2.22044605e-16 2.96235505 2.57778878 6.80133036 
2097 -0.14341489520182904 -7.2771902052803625 0.0 0.0 0.0 0.0 0.0966929266611759 0.06789853666941205 0 0.028794389991763855 1.1517756 2.22044605e-16 3.05543415 2.50974633 6.71695608 
2098 -0.22335618550374647 -7.500546390784109 0.0 0.0 0.0 0.0 0.09461258285393226 0.07067370857303387 0 0.023938874280898387 0.95755497 0. 3.18031689 2.37102914 6.508901 
2099 -0.279175058376552 -7.779721449160661 0.0 0.0 0.0 0.0 0.09195219391206899 0.0737389030439655 0 0.018213290868103485 0.72853163 0. 3.31825064 2.2033097 6.25009197 
2100 -0.2959139848695713 -8.075635434030232 0.0 0.0 0.0 0.0 0.08970064563413357 0.07659967718293322 0 0.01310096845120036 0.52403874 0. 3.44698547 2.05603228 6.02705649 
2101 -0.2690870211574179 -8.34472245518765 0.0 0.0 0.0 0.0 0.08873728658288527 0.07881635670855737 0 0.009920929874327897 0.39683719 0. 3.54673605 1.97316433 5.91673758 
2102 -0.20588179036889187 -8.550604245556542 0.0 0.0 0.0 0.0 0.08959630554256456 0.08012184722871772 0 0.009474458313846842 0.37897833 0. 3.60548313 1.98141528 5.96587673 
2103 -0.12323354528723485 -8.673837790843777 0.0 0.0 0.0 0.0 0.09232359454880246 0.08049320272559876 0 0.011830391823203695 0.47321567 0. 3.62219412 2.08307973 6.17848952 
2104 -0.043287364671869 -8.717125155515646 0.0 0.0 0.0 0.0 0.09646445088056849 0.08015777455971576 0 0.016306676320852725 0.65226705 0. 3.60709986 2.25542254 6.51478945 
2105 0.012535616463367205 -8.704589539052279 0.0 0.0 0.0 0.0 0.10118541321662289 0.07953229339168855 0 0.02165311982493434 0.86612479 4.4408921e-16 3.5789532 2.45677066 6.90184866 
2106 0.029277994232018045 -8.67531154482026 0.0 0.0 0.0 0.0 0.10549758602423515 0.07911120698788243 0 0.026386379036352714 1.05545516 3.33066907e-16 3.56000431 2.6376793 7.25313878 
2107 0.0024539298731838244 -8.672857614947077 0.0 0.0 0.0 0.0 0.10852161256314774 0.07933419371842612 0 0.02918741884472162 1.16749675 0. 3.57003872 2.75418063 7.4917161 
2108 -0.06074886522179668 -8.733606480168874 0.0 0.0 0.0 0.0 0.10972329717935073 0.08046835141032464 0 0.029254945769026083 1.17019783 0. 3.62107581 2.77956486 7.5708385 
2109 -0.1433950641223305 -8.877001544291204 0.0 0.0 0.0 0.0 0.1090567420660323 0.08253662896698384 0 0.026520113099048462 1.06080452 0. 3.7141483 2.7115371 7.48648993 
2110 -0.22333952577838545 -9.10034107006959 0.0 0.0 0.0 0.0 0.10697664509598209 0.08531167745200896 0 0.021664967643973132 0.86659871 1.11022302e-16 3.83902549 2.57283225 7.27845645 
2111 -0.27916106284749276 -9.379502132917082 0.0 0.0 0.0 0.0 0.10431646351750826 0.08837676824124586 0 0.01593969527626239 0.63758781 2.22044605e-16 3.97695457 2.40512318 7.01966556 
2112 -0.2959022274827703 -9.675404360399853 0.0 0.0 0.0 0.0 0.10206508944174802 0.091237455279126 0 0.01082763416262203 0.43310537 0. 4.10568549 2.25785447 6.79664533 
2113 -0.2690771439929449 -9.944481504392797 0.0 0.0 0.0 0.0 0.10110187673454088 0.09345406163272955 0 0.0076478151018113255 0.3059126 0. 4.20543277 2.17499384 6.68633921 
2114 -0.2058734927446153 -10.150354997137413 0.0 0.0 0.0 0.0 0.10196101863515891 0.09475949068242055 0 0.00720152795273836 0.28806112 0. 4.26417708 2.18325093 6.73548913 
2115 -0.1232265746055532 -10.273581571742966 0.0 0.0 0.0 0.0 0.1046884109218221 0.09513079453908894 0 0.009557616382733156 0.38230466 1.11022302e-16 4.28088575 2.28492055 6.94811096 
2116 -0.0432815087303311 -10.316863080473297 0.0 0.0 0.0 0.0 0.10882935401757363 0.0947953229912132 0 0.01403403102636043 0.56136124 3.33066907e-16 4.26578953 2.4572677 7.28441848 
2117 0.012540535932146213 -10.30432254454115 0.0 0.0 0.0 0.0 0.1135503892424552 0.0941698053787724 0 0.0193805838636828 0.77522335 2.22044605e-16 4.23764124 2.65861946 7.67148406 
2118 0.029282126987425272 -10.275040417553726 0.0 0.0 0.0 0.0 0.11786262328263675 0.09374868835868164 0 0.02411393492395511 0.9645574 0. 4.21869098 2.83953116 8.02277954 
2119 0.0024574017250529323 -10.272583015828673 0.0 0.0 0.0 0.0 0.12088670126190376 0.09397164936904812 0 0.026915051892855646 1.07660208 1.11022302e-16 4.22872422 2.95603506 8.26136136 
2120 -0.060745948582905385 -10.333328964411578 0.0 0.0 0.0 0.0 0.12208842909220097 0.09510578545389953 0 0.02698264363830144 1.07930575 0. 4.27976035 2.98142145 8.34048755 
